,index,subject,relation,object
401,1113668,bournemouth,isa,town
402,1113671,bourse,isa,station
403,1113844,box,isa,area
404,1113929,boy,isa,band
405,1114028,bp,isa,company
406,1114175,bradley,isa,given_name
407,1114238,brain,isa,software
408,1114334,branch,isa,organization
409,1114367,brand,isa,city
410,1114412,brass,isa,album
411,1114475,brave,isa,film
412,1114476,brave,isa,people
413,1114499,brazil,isa,country
414,1114510,brazilian,isa,person
415,1114511,brazilian,isa,person_with_nationality
416,1114559,breach,isa,event
417,1114605,breadbasket,isa,region
418,1114703,breakthrough,isa,event
419,1114781,breda,isa,city
420,1114814,breezy,isa,film
421,1114821,bremen,isa,town
422,1114822,bremen,isa,administrative_region
423,1114963,bridge,isa,structure
424,1115097,brisbane,isa,city
425,1115098,brisbane,isa,capital
426,1115116,bristol,isa,city
427,1115136,british,isa,person
428,1115137,british,isa,person_with_nationality
429,1115250,brno,isa,city
430,1115305,broadcasting,isa,album
431,1115380,broken,isa,album
432,1115392,broker,isa,book
433,1115781,bruce,isa,given_name
434,1115845,brunet,isa,person
435,1115856,bruno,isa,person
436,1115858,bruno,isa,soccer_player
437,1115900,brussels,isa,capital
438,1115966,bse,isa,disease
439,1116034,bucharest,isa,city
440,1116101,budapest,isa,city
441,1116314,building,isa,structure
442,1116389,bulgaria,isa,country
443,1116390,bulgaria,isa,state
444,1116392,bulgarian,isa,human
445,1116393,bulgarian,isa,person_with_nationality
446,1116405,bulgarians,isa,ethnic_group
447,1116435,bull,isa,person
448,1116495,bullet,isa,part
449,1116762,bureaucracy,isa,agent_non_geographical
450,1116763,bureaucracy,isa,organization
451,1116807,burial,isa,musical_artist
452,1116854,burmese,isa,person_with_nationality
453,1116866,burn,isa,disease
454,1116960,burst,isa,activity
455,1116971,burundi,isa,country
456,1117110,bushman,isa,african
457,1117111,bushman,isa,human
458,1117131,business,isa,organization
459,1117742,c,isa,company
460,1117930,cable,isa,device
461,1118153,caesar,isa,given_name
462,1118258,cairns,isa,city
463,1118260,cairo,isa,city
464,1118261,cairo,isa,capital
465,1118262,cairo,isa,software
466,1118296,cake,isa,tangible_thing
467,1118547,calendar,isa,software
468,1118586,calgary,isa,city
469,1118602,california,isa,administrative_region
470,1118607,california,isa,state
471,1118741,calling,isa,band
472,1118936,cambodia,isa,country
473,1118938,cambodian,isa,person_with_nationality
474,1118948,cambridge,isa,city
475,1118987,camera,isa,device
476,1119007,cameroon,isa,country
477,1119008,cameroon,isa,state
478,1119037,camp,isa,band
479,1119038,camp,isa,place
480,1119132,camping,isa,activity
481,1119224,canada,isa,country
482,1119231,canada,isa,state
483,1119253,canadian,isa,person
484,1119254,canadian,isa,person_with_nationality
485,1119337,canberra,isa,city
486,1119353,cancer,isa,disease
487,1119359,cancer,isa,person
488,1119419,candidate,isa,person
489,1119493,cane,isa,device
490,1119628,cannon,isa,weapon
491,1119939,capita,isa,company
492,1119940,capital,isa,city
493,1120252,car,isa,artifact
494,1120455,caracas,isa,city
495,1120456,caracas,isa,capital
496,1120861,cardiff,isa,city
497,1121034,cargo,isa,tangible_thing
498,1121141,carlos,isa,musical_artist
499,1121389,carrefour,isa,company
500,1121488,cars,isa,band
501,1121505,cars,isa,album
502,1121667,casablanca,isa,city
503,1121693,case,isa,person
504,1121891,cassidy,isa,musical_artist
505,1121979,castle,isa,book
506,1122085,cat,isa,book
507,1122136,catalan,isa,human
508,1122677,cavity,isa,structure
509,1123041,cell,isa,film
510,1123052,cell,isa,book
511,1123349,censor,isa,person
512,1123396,center,isa,area
513,1123397,center,isa,place
514,1123561,centrist,isa,person
515,1123599,ceo,isa,person
516,1123839,ceremony,isa,tangible_thing
517,1123840,ceremony,isa,activity
518,1124061,chad,isa,country
519,1124301,chamber,isa,book
520,1124339,chamorro,isa,human
521,1124367,champion,isa,person
522,1124744,charles,isa,person
523,1124941,chechen,isa,agent_non_geographical
524,1124942,chechen,isa,human
525,1124943,chechen,isa,organization
526,1124944,chechen,isa,person
527,1124949,chechens,isa,ethnic_group
528,1124950,chechnya,isa,administrative_region
529,1125073,cheese,isa,magazine
530,1125081,cheese,isa,tangible_thing
531,1125082,cheese,isa,software
532,1125566,chesterfield,isa,town
533,1125721,chicago,isa,city
534,1125735,chicane,isa,musical_artist
535,1125768,chicken,isa,software
536,1125939,child,isa,person
537,1126046,chile,isa,country
538,1126048,chilean,isa,person
539,1126049,chilean,isa,person_with_nationality
540,1126075,chili,isa,country
541,1126078,chili,isa,artifact
542,1126177,china,isa,country
543,1126187,china,isa,soccer_player
544,1126230,chinese,isa,asian
545,1126232,chinese,isa,human
546,1126233,chinese,isa,person
547,1126234,chinese,isa,person_with_nationality
548,1126372,chip,isa,magazine
549,1126403,chiron,isa,weapon
550,1126785,choke,isa,tangible_thing
551,1126826,cholera,isa,disease
552,1127030,chris,isa,given_name
553,1127050,christian,isa,human
554,1127108,christians,isa,people
555,1127110,christie,isa,station
556,1127112,christine,isa,book
557,1127178,christopher,isa,musical_artist
558,1127359,chronic,isa,album
559,1127563,church,isa,organization
560,1127564,church,isa,place
561,1127806,cincinnati,isa,city
562,1128162,citizen,isa,person
563,1128257,city,isa,place
564,1128263,city,isa,town
565,1128267,city,isa,book
566,1128354,civilian,isa,person
567,1128430,clamp,isa,company
568,1128501,clash,isa,band
569,1128522,class,isa,people
570,1128571,classic,isa,book
571,1128572,classic,isa,film
572,1128755,clean,isa,tangible_thing
573,1128811,clearing,isa,film
574,1128812,clearing,isa,event
575,1128873,clemens,isa,person
576,1128902,clerk,isa,human
577,1128917,cleveland,isa,city
578,1128940,client,isa,book
579,1129198,clock,isa,device
580,1129354,closer,isa,person
581,1129355,closer,isa,magazine
582,1129371,closing,isa,event
583,1129447,closure,isa,album
584,1129451,clot,isa,tangible_thing
585,1129624,clown,isa,book
586,1130611,coil,isa,structure
587,1130700,cold,isa,disease
588,1130798,colin,isa,given_name
589,1130845,collar,isa,band
590,1130878,colleague,isa,person
591,1130936,college,isa,place
592,1130945,college,isa,station
593,1131061,cologne,isa,city
594,1131064,colombia,isa,country
595,1131066,colombian,isa,person_with_nationality
596,1131088,colombo,isa,city
597,1131120,colony,isa,place
598,1131182,colorado,isa,administrative_region
599,1131183,colorado,isa,place
600,1131184,colorado,isa,state
601,1131301,columbus,isa,capital
602,1131317,column,isa,structure
603,1131597,commander,isa,person
604,1131644,commerce,isa,station
605,1131775,commissioner,isa,person
606,1131840,commodity,isa,artifact
607,1131854,common,isa,musical_artist
608,1132205,commonwealth,isa,state
609,1132241,communication,isa,event
610,1132245,communication,isa,tangible_thing
611,1132316,communist,isa,person
612,1132336,community,isa,people
613,1132373,commuter,isa,person
614,1132435,company,isa,organization
615,1132482,compartment,isa,part
616,1132512,compatriot,isa,person
617,1132540,compile,isa,company
618,1132684,component,isa,part
619,1133519,condition,isa,state
620,1133584,conductor,isa,device
621,1133747,conflict,isa,state
622,1133991,conman,isa,film
623,1134150,conservative,isa,person
624,1134399,consumer,isa,person
625,1134443,contact,isa,album
626,1134453,contact,isa,book
627,1134482,contacts,isa,software
628,1134571,contestant,isa,person
629,1134574,context,isa,software
630,1134759,control,isa,activity
631,1134861,convention,isa,event
632,1134868,convention,isa,station
633,1134912,conversion,isa,event
634,1134924,convert,isa,person
635,1135162,cooperative,isa,agent_non_geographical
636,1135163,cooperative,isa,organization
637,1135254,copper,isa,tangible_thing
638,1135503,core,isa,album
639,1135556,cork,isa,city
640,1135604,corn,isa,disease
641,1135692,corner,isa,tangible_thing
642,1135694,corner,isa,structure
643,1135695,corner,isa,area
644,1135698,corner,isa,part
645,1135898,corporation,isa,organization
646,1135950,correction,isa,book
647,1135967,corrections,isa,book
648,1136051,corsica,isa,administrative_region
649,1136055,corsican,isa,person_with_nationality
650,1136240,costa,isa,structure
651,1136472,council,isa,agent_non_geographical
652,1136473,council,isa,organization
653,1136541,counter,isa,person
654,1136643,country,isa,area
655,1136647,country,isa,region
656,1136690,countryside,isa,place
657,1136692,countryside,isa,country
658,1136701,county,isa,state
659,1136702,county,isa,tangible_thing
660,1136704,county,isa,region
661,1136746,couples,isa,book
662,1136810,court,isa,area
663,1136901,coventry,isa,city
664,1136938,covering,isa,tangible_thing
665,1136943,covering,isa,artifact
666,1137117,crab,isa,person
667,1137340,crash,isa,magazine
668,1137405,crawley,isa,town
669,1137505,creation,isa,activity
670,1137506,creation,isa,artifact
671,1137857,crime,isa,activity
672,1137858,crime,isa,film
673,1137894,criminal,isa,person
674,1137930,criminals,isa,human
675,1137933,criminals,isa,people
676,1138005,critic,isa,person
677,1138048,croat,isa,human
678,1138050,croatia,isa,country
679,1138173,cross,isa,structure
680,1138583,crying,isa,event
681,1138685,crystal,isa,tangible_thing
682,1138792,cuba,isa,country
683,1138795,cuban,isa,person
684,1138796,cuban,isa,person_with_nationality
685,1139213,cups,isa,software
686,1139384,curse,isa,musical_artist
687,1139426,curve,isa,magazine
688,1139506,customers,isa,people
689,1139591,cutout,isa,part
690,1139615,cutting,isa,part
691,1140227,cynthia,isa,given_name
692,1140271,cypriot,isa,person
693,1140272,cypriot,isa,person_with_nationality
694,1140289,cyprus,isa,country
695,1140291,cyprus,isa,state
696,1140498,czech,isa,human
697,1140499,czech,isa,person
698,1140500,czech,isa,person_with_nationality
699,1140575,dacia,isa,country
700,1140633,daewoo,isa,company
701,1140758,dalian,isa,city
702,1140765,dallas,isa,city
703,1140868,dana,isa,musical_artist
704,1140887,dance,isa,album
705,1140924,dancer,isa,person
706,1140980,danger,isa,area
707,1141003,dani,isa,person
708,1141006,daniel,isa,book
709,1141007,daniel,isa,person
710,1141028,danish,isa,person
711,1141048,danny,isa,soccer_player
712,1141054,dante,isa,soccer_player
713,1141503,dave,isa,person
714,1141740,dead,isa,album
715,1141741,dead,isa,people
716,1141867,deaf,isa,people
717,1141931,death,isa,state
718,1142013,debrecen,isa,city
719,1142216,decker,isa,artifact
720,1142246,decline,isa,album
721,1142397,deep,isa,company
722,1142436,deeply,isa,film
723,1142500,defeated,isa,people
724,1142531,defense,isa,organization
725,1142697,degree,isa,state
726,1142744,dehydration,isa,disease
727,1143024,demand,isa,activity
728,1143150,demonstrators,isa,agent_non_geographical
729,1143151,demonstrators,isa,organization
730,1143275,denmark,isa,country
731,1143441,denver,isa,city
732,1143444,denver,isa,capital
733,1143493,department,isa,state
734,1143494,department,isa,tangible_thing
735,1143531,departure,isa,band
736,1143667,depths,isa,region
737,1143692,derby,isa,city
738,1143695,derbyshire,isa,administrative_region
739,1143813,descendants,isa,film
740,1143870,desert,isa,place
741,1143981,desk,isa,place
742,1144152,detail,isa,part
743,1144158,detecting,isa,event
744,1144171,detective,isa,human
745,1144173,detective,isa,person
746,1144260,detroit,isa,city
747,1144297,dev,isa,musical_artist
748,1144308,develop,isa,magazine
749,1144391,device,isa,artifact
750,1144475,devon,isa,administrative_region
751,1144549,dhahran,isa,city
752,1144551,dhaka,isa,city
753,1144552,dhaka,isa,capital
